epoch,model,train_loss,train_acc,val_loss,val_acc
1,EfficientNet,0.10481258166691987,97.91666666666667,0.0008350741118192673,100.0
2,EfficientNet,0.03016101469984278,98.75,0.00018101326713804156,100.0
3,EfficientNet,0.010751931287813932,100.0,0.0010463363723829389,100.0
1,ResNet50,0.5829008221626282,72.08333333333333,48.25592041015625,50.0
2,ResNet50,0.12534833699464798,95.0,75.37281036376953,50.0
3,ResNet50,0.068629713030532,97.5,158.81239318847656,50.0
1,VGG16,2.1577490270137787,43.333333333333336,0.6799469590187073,66.66666666666667
2,VGG16,1.1739013642072678,52.5,0.705359160900116,50.0
3,VGG16,0.7074784711003304,55.833333333333336,0.8567495942115784,50.0
1,MobileNet,0.14771748456405476,92.5,0.0008305354858748615,100.0
2,MobileNet,0.018732735596131533,98.75,0.00029296783031895757,100.0
3,MobileNet,0.011125686801278789,99.16666666666667,0.2240956574678421,83.33333333333333
